"BehaviorSpace results (NetLogo 7.0.4),""Table version 2.0"""
Virus.nlogox
experimento_evolutivo
05/26/2026 18:57:23:470 -0500
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"9,""10"",""31"",""3"""
"8,""10"",""35"",""1"""
"9,""10"",""32"",""3"""
"12,""20"",""2"",""10"""
"11,""20"",""8"",""11"""
"7,""10"",""43"",""2"""
"9,""10"",""33"",""3"""
"12,""20"",""3"",""10"""
"7,""10"",""44"",""1"""
"11,""20"",""9"",""11"""
"9,""10"",""34"",""3"""
"8,""10"",""36"",""1"""
"7,""10"",""45"",""1"""
"12,""20"",""4"",""10"""
"11,""20"",""10"",""12"""
"9,""10"",""35"",""3"""
"8,""10"",""37"",""1"""
"7,""10"",""46"",""1"""
"12,""20"",""5"",""10"""
"1,""10"",""4"",""10"""
"9,""10"",""36"",""3"""
"8,""10"",""38"",""1"""
"11,""20"",""11"",""13"""
"12,""20"",""6"",""10"""
"7,""10"",""47"",""1"""
"9,""10"",""37"",""3"""
"8,""10"",""39"",""1"""
"9,""10"",""38"",""3"""
"11,""20"",""12"",""13"""
"12,""20"",""7"",""10"""
"7,""10"",""48"",""1"""
"7,""10"",""49"",""1"""
"7,""10"",""50"",""1"""
"11,""20"",""13"",""13"""
"12,""20"",""8"",""10"""
"7,""10"",""51"",""1"""
"8,""10"",""40"",""0"""
"11,""20"",""14"",""13"""
"12,""20"",""9"",""10"""
"9,""10"",""39"",""3"""
"11,""20"",""15"",""13"""
"7,""10"",""52"",""1"""
"9,""10"",""40"",""2"""
"7,""10"",""53"",""1"""
"12,""20"",""10"",""11"""
"11,""20"",""16"",""13"""
"9,""10"",""41"",""2"""
"7,""10"",""54"",""1"""
"12,""20"",""11"",""11"""
"12,""20"",""12"",""11"""
"11,""20"",""17"",""13"""
"7,""10"",""55"",""1"""
"9,""10"",""42"",""2"""
"13,""20"",""0"",""10"""
"7,""10"",""56"",""0"""
"11,""20"",""18"",""13"""
"12,""20"",""13"",""11"""
"11,""20"",""19"",""13"""
"9,""10"",""43"",""2"""
"13,""20"",""1"",""10"""
"14,""20"",""0"",""10"""
"12,""20"",""14"",""11"""
"13,""20"",""2"",""10"""
"11,""20"",""20"",""13"""
"9,""10"",""44"",""2"""
"14,""20"",""1"",""10"""
"13,""20"",""3"",""10"""
"14,""20"",""2"",""11"""
"9,""10"",""45"",""2"""
"12,""20"",""15"",""12"""
"11,""20"",""21"",""3"""
"13,""20"",""4"",""10"""
"14,""20"",""3"",""11"""
"12,""20"",""16"",""12"""
"11,""20"",""22"",""3"""
"14,""20"",""4"",""11"""
"12,""20"",""17"",""12"""
"11,""20"",""23"",""2"""
"9,""10"",""46"",""2"""
"14,""20"",""5"",""11"""
"13,""20"",""5"",""10"""
"12,""20"",""18"",""12"""
"14,""20"",""6"",""11"""
"11,""20"",""24"",""3"""
"9,""10"",""47"",""2"""
"13,""20"",""6"",""10"""
"14,""20"",""7"",""11"""
"12,""20"",""19"",""12"""
"13,""20"",""7"",""10"""
"9,""10"",""48"",""3"""
"11,""20"",""25"",""3"""
"14,""20"",""8"",""12"""
"12,""20"",""20"",""12"""
"14,""20"",""9"",""12"""
"13,""20"",""8"",""10"""
"9,""10"",""49"",""3"""
"14,""20"",""10"",""12"""
"12,""20"",""21"",""2"""
"11,""20"",""26"",""3"""
"13,""20"",""9"",""10"""
"9,""10"",""50"",""3"""
"14,""20"",""11"",""12"""
"13,""20"",""10"",""10"""
"12,""20"",""22"",""2"""
"14,""20"",""12"",""12"""
"11,""20"",""27"",""3"""
"9,""10"",""51"",""2"""
"12,""20"",""23"",""2"""
"11,""20"",""28"",""3"""
"14,""20"",""13"",""12"""
"13,""20"",""11"",""10"""
"12,""20"",""24"",""3"""
"9,""10"",""52"",""2"""
"11,""20"",""29"",""3"""
"14,""20"",""14"",""12"""
"13,""20"",""12"",""10"""
"12,""20"",""25"",""3"""
"14,""20"",""15"",""12"""
"13,""20"",""13"",""10"""
"9,""10"",""53"",""2"""
"12,""20"",""26"",""3"""
"11,""20"",""30"",""2"""
"14,""20"",""16"",""12"""
"13,""20"",""14"",""10"""
"9,""10"",""54"",""1"""
"12,""20"",""27"",""3"""
"11,""20"",""31"",""1"""
"14,""20"",""17"",""13"""
"13,""20"",""15"",""10"""
"9,""10"",""55"",""1"""
"13,""20"",""16"",""11"""
"12,""20"",""28"",""3"""
"11,""20"",""32"",""1"""
"14,""20"",""18"",""13"""
"9,""10"",""56"",""1"""
"13,""20"",""17"",""12"""
"14,""20"",""19"",""13"""
"13,""20"",""18"",""12"""
"14,""20"",""20"",""13"""
"12,""20"",""29"",""3"""
"11,""20"",""33"",""1"""
"9,""10"",""57"",""1"""
"14,""20"",""21"",""3"""
"13,""20"",""19"",""12"""
"9,""10"",""58"",""1"""
"12,""20"",""30"",""2"""
"11,""20"",""34"",""1"""
"13,""20"",""20"",""12"""
"1,""10"",""5"",""10"""
"14,""20"",""22"",""2"""
"13,""20"",""21"",""2"""
"9,""10"",""59"",""1"""
"13,""20"",""22"",""2"""
"11,""20"",""35"",""1"""
"12,""20"",""31"",""2"""
"14,""20"",""23"",""2"""
"9,""10"",""60"",""1"""
"14,""20"",""24"",""2"""
"11,""20"",""36"",""1"""
"13,""20"",""23"",""2"""
"14,""20"",""25"",""2"""
"12,""20"",""32"",""2"""
"13,""20"",""24"",""2"""
"11,""20"",""37"",""1"""
"12,""20"",""33"",""2"""
"14,""20"",""26"",""2"""
"9,""10"",""61"",""1"""
"14,""20"",""27"",""2"""
"13,""20"",""25"",""2"""
"11,""20"",""38"",""1"""
"12,""20"",""34"",""2"""
"13,""20"",""26"",""2"""
"14,""20"",""28"",""2"""
"9,""10"",""62"",""1"""
"11,""20"",""39"",""1"""
"13,""20"",""27"",""2"""
"12,""20"",""35"",""3"""
"14,""20"",""29"",""1"""
"13,""20"",""28"",""2"""
"9,""10"",""63"",""1"""
"11,""20"",""40"",""1"""
"13,""20"",""29"",""2"""
"12,""20"",""36"",""3"""
"14,""20"",""30"",""1"""
"9,""10"",""64"",""1"""
"13,""20"",""30"",""2"""
"11,""20"",""41"",""3"""
"14,""20"",""31"",""1"""
"9,""10"",""65"",""1"""
"12,""20"",""37"",""3"""
"13,""20"",""31"",""2"""
"14,""20"",""32"",""1"""
"9,""10"",""66"",""1"""
"11,""20"",""42"",""3"""
"14,""20"",""33"",""1"""
"13,""20"",""32"",""2"""
"12,""20"",""38"",""3"""
"9,""10"",""67"",""1"""
"14,""20"",""34"",""1"""
"13,""20"",""33"",""2"""
"11,""20"",""43"",""3"""
"14,""20"",""35"",""1"""
"13,""20"",""34"",""2"""
"12,""20"",""39"",""3"""
